Channel              :,CH1,CH2
Frequency            :,2.556KHz,2.556KHz
Period               :,0.391ms,0.391ms
PK-PK                :,9.760V,4.320V
Average              :,-100.3mV,-54.42mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
626,-4800.000000,-1280.000000
627,-4880.000000,-1160.000000
628,-4960.000000,-1040.000000
629,-5040.000000,-920.000000
630,-5040.000000,-800.000000
631,-5040.000000,-720.000000
632,-5120.000000,-560.000000
633,-5040.000000,-440.000000
634,-5040.000000,-280.000000
635,-4960.000000,-200.000000
636,-4800.000000,-80.000000
637,-4640.000000,40.000000
638,-4480.000000,200.000000
639,-4320.000000,320.000000
640,-4080.000000,440.000000
641,-3840.000000,560.000000
642,-3520.000000,680.000000
643,-3280.000000,800.000000
644,-2960.000000,920.000000
645,-2640.000000,1040.000000
646,-2400.000000,1160.000000
647,-2080.000000,1240.000000
648,-1760.000000,1320.000000
649,-1440.000000,1440.000000
650,-1040.000000,1520.000000
651,-720.000000,1600.000000
652,-400.000000,1680.000000
653,-80.000000,1760.000000
654,320.000000,1800.000000
655,640.000000,1880.000000
656,960.000000,1920.000000
657,1280.000000,1960.000000
658,1600.000000,2000.000000
659,1920.000000,2040.000000
660,2240.000000,2040.000000
661,2560.000000,2040.000000
662,2880.000000,2040.000000
663,3120.000000,2040.000000
664,3440.000000,2000.000000
665,3680.000000,2000.000000
666,3920.000000,1960.000000
667,4160.000000,1920.000000
668,4400.000000,1880.000000
669,4560.000000,1800.000000
670,4640.000000,1760.000000
671,4640.000000,1680.000000
672,4640.000000,1600.000000
673,4640.000000,1480.000000
674,4640.000000,1400.000000
675,4560.000000,1280.000000
676,4560.000000,1160.000000
677,4560.000000,1040.000000
678,4480.000000,920.000000
679,4480.000000,760.000000
680,4480.000000,640.000000
681,4400.000000,480.000000
682,4400.000000,320.000000
683,4400.000000,240.000000
684,4240.000000,80.000000
685,4160.000000,-80.000000
686,4000.000000,-200.000000
687,3840.000000,-360.000000
